2022/10/05 17:32:53 - Spoon - Running transformation using the Kettle execution engine
2022/10/05 17:32:53 - Spoon - Transformation opened.
2022/10/05 17:32:53 - Spoon - Launching transformation [Transf 08 - Fatos Vendas DS]...
2022/10/05 17:32:53 - Spoon - Started the transformation execution.
2022/10/05 17:32:54 - Transf 08 - Fatos Vendas DS - Expedindo in�cio para transforma��o [Transf 08 - Fatos Vendas DS]
2022/10/05 17:32:54 - Table input.0 - Finished reading query, closing connection
2022/10/05 17:32:54 - Table input.0 - Finished processing (I=5151, O=0, R=0, W=5151, U=0, E=0)
2022/10/05 17:32:54 - Replace in string.0 - Finished processing (I=0, O=0, R=5151, W=5151, U=0, E=0)
2022/10/05 17:32:54 - Select values.0 - Finished processing (I=0, O=0, R=5151, W=5151, U=0, E=0)
2022/10/05 17:32:54 - Sort rows.0 - Finished processing (I=0, O=0, R=5151, W=5151, U=0, E=0)
2022/10/05 17:32:54 - Group by 2.0 - Finished processing (I=0, O=0, R=5151, W=1382, U=0, E=0)
2022/10/05 17:32:55 - Database lookup.0 - Finished processing (I=1382, O=0, R=1382, W=1382, U=0, E=0)
2022/10/05 17:32:55 - Database lookup 2.0 - Finished processing (I=1382, O=0, R=1382, W=1382, U=0, E=0)
2022/10/05 17:32:55 - Database lookup 3.0 - Finished processing (I=1382, O=0, R=1382, W=1382, U=0, E=0)
2022/10/05 17:32:55 - Select values 2.0 - Finished processing (I=0, O=0, R=1382, W=1382, U=0, E=0)
2022/10/05 17:32:55 - Get System Info.0 - Finished processing (I=0, O=0, R=1382, W=1382, U=0, E=0)
2022/10/05 17:32:55 - Add constants.0 - Finished processing (I=0, O=0, R=1382, W=1382, U=0, E=0)
2022/10/05 17:32:55 - If field value is null.0 - Finished processing (I=0, O=0, R=1382, W=1382, U=0, E=0)
2022/10/05 17:32:56 - Insert / Update.0 - Finished processing (I=1382, O=1379, R=1382, W=1382, U=3, E=0)
2022/10/05 17:32:56 - Spoon - The transformation has finished!!
